podp_id,genome_label,genome_type,metabolomics_file,gnps_massive_id,same_experiment,slice
0ff7a302-49af-4130-a440-59e284d4d365.4,Streptomyces sp. CNT302,genome,ftp://massive.ucsd.edu/MSV000078839/spectrum/R5/CNT302_R5_E.mzXML,MSV000078839,True,unvalidated_pairs
0ff7a302-49af-4130-a440-59e284d4d365.4,Streptomyces sp. CNH099,genome,ftp://massive.ucsd.edu/MSV000078839/spectrum/R5/CNH099_R5_B.mzXML,MSV000078839,True,unvalidated_pairs
0ff7a302-49af-4130-a440-59e284d4d365.4,Streptomyces sp. CNH099,genome,ftp://massive.ucsd.edu/MSV000078839/spectrum/R5/CNH099_R5_M.mzXML,MSV000078839,True,unvalidated_pairs
0ff7a302-49af-4130-a440-59e284d4d365.4,Streptomyces sp. CNH099,genome,ftp://massive.ucsd.edu/MSV000078839/spectrum/R5/CNH099_R5_E.mzXML,MSV000078839,True,unvalidated_pairs
0ff7a302-49af-4130-a440-59e284d4d365.4,Streptomyces sp. CNH189,genome,ftp://massive.ucsd.edu/MSV000078839/spectrum/R5/CNH189_R5_B.mzXML,MSV000078839,True,unvalidated_pairs
0ff7a302-49af-4130-a440-59e284d4d365.4,Streptomyces sp. CNH189,genome,ftp://massive.ucsd.edu/MSV000078839/spectrum/R5/CNH189_R5_M.mzXML,MSV000078839,True,unvalidated_pairs
0ff7a302-49af-4130-a440-59e284d4d365.4,Streptomyces sp. CNH189,genome,ftp://massive.ucsd.edu/MSV000078839/spectrum/R5/CNH189_R5_E.mzXML,MSV000078839,True,unvalidated_pairs
0ff7a302-49af-4130-a440-59e284d4d365.4,Streptomyces sp. CNH287,genome,ftp://massive.ucsd.edu/MSV000078839/spectrum/R5/CNH287_R5_B.mzXML,MSV000078839,True,unvalidated_pairs
0ff7a302-49af-4130-a440-59e284d4d365.4,Streptomyces sp. CNH287,genome,ftp://massive.ucsd.edu/MSV000078839/spectrum/R5/CNH287_R5_M.mzXML,MSV000078839,True,unvalidated_pairs
0ff7a302-49af-4130-a440-59e284d4d365.4,Streptomyces sp. CNH287,genome,ftp://massive.ucsd.edu/MSV000078839/spectrum/R5/CNH287_R5_E.mzXML,MSV000078839,True,unvalidated_pairs
0ff7a302-49af-4130-a440-59e284d4d365.4,Streptomyces sp. CNP082,genome,ftp://massive.ucsd.edu/MSV000078839/spectrum/R5/CNP082_R5_B.mzXML,MSV000078839,True,unvalidated_pairs
0ff7a302-49af-4130-a440-59e284d4d365.4,Streptomyces sp. CNP082,genome,ftp://massive.ucsd.edu/MSV000078839/spectrum/R5/CNP082_R5_M.mzXML,MSV000078839,True,unvalidated_pairs
0ff7a302-49af-4130-a440-59e284d4d365.4,Streptomyces sp. CNP082,genome,ftp://massive.ucsd.edu/MSV000078839/spectrum/R5/CNP082_R5_E.mzXML,MSV000078839,True,unvalidated_pairs
0ff7a302-49af-4130-a440-59e284d4d365.4,Streptomyces sp. CNQ329,genome,ftp://massive.ucsd.edu/MSV000078839/spectrum/R5/CNQ329_R5_B.mzXML,MSV000078839,True,unvalidated_pairs
0ff7a302-49af-4130-a440-59e284d4d365.4,Streptomyces sp. CNQ329,genome,ftp://massive.ucsd.edu/MSV000078839/spectrum/R5/CNQ329_R5_M.mzXML,MSV000078839,True,unvalidated_pairs
0ff7a302-49af-4130-a440-59e284d4d365.4,Streptomyces sp. CNQ329,genome,ftp://massive.ucsd.edu/MSV000078839/spectrum/R5/CNQ329_R5_E.mzXML,MSV000078839,True,unvalidated_pairs
0ff7a302-49af-4130-a440-59e284d4d365.4,Streptomyces sp. CNQ525,genome,ftp://massive.ucsd.edu/MSV000078839/spectrum/R5/CNQ525_R5_B.mzXML,MSV000078839,True,unvalidated_pairs
0ff7a302-49af-4130-a440-59e284d4d365.4,Streptomyces sp. CNQ525,genome,ftp://massive.ucsd.edu/MSV000078839/spectrum/R5/CNQ525_R5_M.mzXML,MSV000078839,True,unvalidated_pairs
0ff7a302-49af-4130-a440-59e284d4d365.4,Streptomyces sp. CNQ525,genome,ftp://massive.ucsd.edu/MSV000078839/spectrum/R5/CNQ525_R5_E.mzXML,MSV000078839,True,unvalidated_pairs
0ff7a302-49af-4130-a440-59e284d4d365.4,Streptomyces sp. CNQ766,genome,ftp://massive.ucsd.edu/MSV000078839/spectrum/R5/CNQ766_R5_B.mzXML,MSV000078839,True,unvalidated_pairs
0ff7a302-49af-4130-a440-59e284d4d365.4,Streptomyces sp. CNQ766,genome,ftp://massive.ucsd.edu/MSV000078839/spectrum/R5/CNQ766_R5_M.mzXML,MSV000078839,True,unvalidated_pairs
0ff7a302-49af-4130-a440-59e284d4d365.4,Streptomyces sp. CNQ766,genome,ftp://massive.ucsd.edu/MSV000078839/spectrum/R5/CNQ766_R5_E.mzXML,MSV000078839,True,unvalidated_pairs
0ff7a302-49af-4130-a440-59e284d4d365.4,Streptomyces sp. CNQ865,genome,ftp://massive.ucsd.edu/MSV000078839/spectrum/R5/CNQ865_R5_B.mzXML,MSV000078839,True,unvalidated_pairs
