CLUSTERID1	CLUSTERID2	ComponentIndex	Cosine	DeltaMZ
565	588	82	0.8605	-44.026
565	619	82	0.8236	-132.077
332	501	82	0.8268	-176.105
367	501	82	0.8741	-132.080
500	501	82	0.8678	-2.065
501	588	82	0.8184	-132.076
501	619	82	0.8	-220.128
367	588	82	0.8193	-264.156
500	588	82	0.7791	-134.141
588	619	82	0.826	-88.052
307	332	82	0.7951	-44.026
332	367	82	0.8717	-44.026
332	500	82	0.7832	-174.041
307	500	82	0.7484	-218.067
367	500	82	0.8324	-130.015
367	619	82	0.8268	-352.208
115	139	84	0.9158	-14.016
550	617	86	0.7613	-165.111
333	394	88	0.8778	-57.021
518	562	89	0.7948	-71.038
521	567	90	0.863	-71.036
540	567	90	0.8348	-43.005
567	585	90	0.8321	-28.031
527	580	90	0.8602	-87.032
540	585	90	0.8518	-71.036
521	527	90	0.8364	-2.015
521	540	90	0.8757	-28.031
521	551	90	0.8435	-34.020
165	166	92	0.8701	0.000
165	206	92	0.9224	-41.026
165	238	92	0.8176	-82.057
166	206	92	0.7904	-41.027
206	238	92	0.9165	-41.030
9	21	94	0.9202	-2.016
10	21	94	0.883	-2.016
9	10	94	0.8824	0.000
243	323	97	0.7821	-101.011
47	51	98	0.8477	-0.000
49	51	98	0.8435	-0.000
50	51	98	0.8014	-0.000
47	48	98	0.8361	0.000
48	49	98	0.7952	-0.000
48	50	98	0.8895	-0.000
47	49	98	0.8641	0.000
49	50	98	0.8005	0.000
47	50	98	0.8293	0.000
239	242	100	0.8587	-0.983
239	250	100	0.808	-11.030
239	256	100	0.8794	-15.994
